team_id,player_id,player_name,position,minutes_played,goals_scored,minutes_per_goal
50,284230,R. Lewis,Defender,1897,1,1897.0
50,567,Rúben Dias,Defender,2273,0,
50,19130,K. Phillips,Midfielder,0,0,
50,41621,Matheus Nunes,Midfielder,1682,1,1682.0
50,278133,Oscar Bobb,Midfielder,13,0,
50,414385,C. Echeverri,Midfielder,11,0,
50,2291,M. Kovačić,Midfielder,2207,6,367.8
50,631,P. Foden,Midfielder,1786,7,255.1
50,44,Rodri,Midfielder,80,0,
50,266657,Sávio,Attacker,1770,1,1770.0
50,1422,J. Doku,Attacker,1532,3,510.7
50,1100,E. Haaland,Attacker,2741,22,124.6
50,19187,J. Grealish,Midfielder,735,1,735.0
50,627,K. Walker,Defender,973,0,
50,629,K. De Bruyne,Midfielder,1715,4,428.8
51,10329,João Pedro,Attacker,1955,10,195.5
51,311334,F. Buonanotte,Midfielder,0,0,
51,301771,S. Adingra,Attacker,1090,2,545.0
51,18960,J. Steele,Goalkeeper,180,0,
51,129058,B. Verbruggen,Goalkeeper,3240,0,
51,138815,T. Lamptey,Defender,861,2,430.5
51,19265,A. Webster,Defender,888,0,
51,7600,Igor,Defender,967,0,
51,18963,L. Dunk,Defender,2083,0,
51,38695,J. van Hecke,Defender,2961,1,2961.0
51,537,J. Veltman,Defender,1699,0,
51,278370,D. Gómez,Midfielder,512,1,512.0
51,305730,J. Hinshelwood,Midfielder,1854,5,370.8
51,19030,M. O&apos;Riley,Midfielder,938,2,469.0
51,296,J. Milner,Midfielder,173,0,
51,328225,B. Gruda,Midfielder,698,1,698.0
51,18973,S. March,Midfielder,168,0,
51,356041,C. Baleba,Midfielder,2670,3,890.0
51,70747,J. Enciso,Midfielder,286,0,
51,92993,M. Wieffer,Midfielder,1045,1,1045.0
51,383685,Y. Minteh,Attacker,1855,6,309.2
51,90590,G. Rutter,Attacker,1672,5,334.4
51,1469,D. Welbeck,Attacker,2122,10,212.2
51,129643,E. Ferguson,Attacker,261,1,261.0
52,2933,B. Chilwell,Defender,253,1,253.0
52,19586,E. Eze,Midfielder,2603,8,325.4
52,278898,C. Riad,Defender,90,0,
52,67971,M. Guéhi,Defender,3060,3,1020.0
52,126949,C. Richards,Defender,1925,1,1925.0
52,13736,D. Muñoz,Defender,3233,4,808.2
52,18862,N. Clyne,Defender,479,0,
52,288102,A. Wharton,Midfielder,1336,0,
52,3339,C. Doucouré,Midfielder,462,0,
52,2601,D. Kamada,Midfielder,1593,0,
52,2490,J. Lerma,Midfielder,2290,0,
52,402640,R. Esse,Midfielder,146,1,146.0
52,311157,Matheus França,Attacker,52,1,52.0
52,1135,O. Édouard,Attacker,115,0,
52,25927,J. Mateta,Attacker,2658,14,189.9
52,1468,E. Nketiah,Attacker,0,0,
52,19720,T. Chalobah,Defender,1063,3,354.3
52,2729,J. Andersen,Defender,90,0,
52,19143,S. Johnstone,Goalkeeper,0,0,
52,3428,J. Ayew,Attacker,20,0,
52,18847,J. Ward,Defender,71,0,
52,50999,M. Turner,Goalkeeper,0,0,
52,1440,R. Holding,Defender,0,0,
52,18806,W. Hughes,Midfielder,2118,0,
55,30407,C. Nørgaard,Midfielder,2829,5,565.8
55,284797,D. Ouattara,Attacker,2014,7,287.7
55,20649,Y. Wissa,Attacker,2929,19,154.2
55,1119,K. Ajer,Defender,1460,0,
55,342022,M. Kayode,Defender,527,0,
55,19789,E. Pinnock,Defender,1913,2,956.5
55,36922,S. van den Berg,Defender,2588,0,
55,44871,A. Hickey,Defender,0,0,
55,19346,R. Henry,Defender,93,0,
